long,lat,Title,label
30.263559298743445,60.01510709336279,Городская поликлиника № 111,7
30.42294098339761,60.03136937195872,Городская поликлиника №86,7
30.17021271222614,59.83565256552932,Городская поликлиника № 91,7
30.384654327574367,59.876959231703154,Городская поликлиника № 19,7
30.299306083390093,59.84955811319938,Городская поликлиника №21,7
30.33033372386349,59.92088231360268,Городская поликлиника №28,7
30.274339283393747,59.93784722290634,Городская поликлиника № 4,7
30.397369127573956,59.86887860992165,Городская поликлиника №56,7
29.789375627083142,59.99285971835921,Городская поликлиника № 74,7
30.585675674968854,59.75090177723187,Городская поликлиника №95,7
30.28034995641458,59.96317880820411,Городская поликлиника № 30,7
30.307943669903143,59.92803093647531,Городская поликлиника № 81 (Максимилиановская),7
30.2920542699043,59.95389374466125,Поликлиника №83,7
